Model,Accuracy,F1-Score,Precision,Recall,ROC-AUC,CV-Mean,CV-Std
K-Nearest Neighbors,0.8149556400506971,0.7930985653224258,0.7843423240509344,0.8149556400506971,0.6990974190392611,0.7879838162621308,0.005922302861681323
Random Forest,0.8332428028245519,0.7893725860320503,0.8033930391005517,0.8332428028245519,0.7692594214418277,0.7819963305585601,0.002407459074455433
Gradient Boosting,0.8321564367191744,0.7875911474017985,0.8008474695788873,0.8321564367191744,0.7572857022112245,0.7791534829125109,0.003250253505843023
Logistic Regression,0.8265435451747238,0.7687190176873256,0.7873824492355158,0.8265435451747238,0.7223066437439756,0.7682741716209642,0.003467107939962677
SVM (RBF),0.8261814231395981,0.7666807782938944,0.786490116792235,0.8261814231395981,0.6398613848566372,0.7645845297452876,0.002587631404261005
